,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
81,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.01,2.0,16,,,677.2612903225806,11.613008999999996,25.0,0.975225,13099.0,586901.0,0.024775,2.453053107983844,2.934505
82,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.001,2.0,16,,,772.7048387096775,13.258342,10.0,0.975375,13029.0,586971.0,0.024625,2.4532675,2.934855
83,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.001,2.0,16,,,721.0241935483871,12.447162,22.0,0.9707,16042.0,583958.0,0.0293,2.441546911455516,2.91979
84,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.01,2.0,16,,,700.4758064516129,11.635777,23.0,0.532475,71831.0,528169.0,0.467525,0.521046182020072,2.640845
85,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.01,2.0,16,,,558.5870967741936,15.079249000000004,25.0,0.57618,158201.0,441799.0,0.42382,1.7396481375876434,2.208995
86,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.001,2.0,16,,,723.9435483870968,11.759077,18.0,0.949925,31194.0,568806.0,0.050075,2.383990202101469,2.84403
87,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.001,2.0,16,,,771.4903225806452,13.092479,9.0,0.334025,151663.0,448337.0,0.665975,1.0839179742272302,2.241685
88,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.01,2.0,16,,,431.9596774193548,14.128312000000005,31.0,0.426835,89748.0,510252.0,0.573165,0.426272137815769,2.55126
89,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.01,2.0,16,,,460.4516129032258,13.419632,30.0,0.52157,81854.0,518146.0,0.47843,0.6611549033671686,2.59073
90,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.001,2.0,16,,,711.1822580645161,12.023171000000003,24.0,0.973625,14161.0,585839.0,0.026375,1.4879910457240126,2.929195
91,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.001,2.0,16,,,710.1338709677419,12.439041999999995,25.0,0.314225,139376.0,460624.0,0.685775,0.9504076426488152,2.30312
92,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.01,2.0,16,,,769.6983870967742,12.912975,15.0,0.90052,63063.0,536937.0,0.09948,2.259320737055987,2.684685
93,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.01,2.0,16,,,686.8016129032258,11.357749,25.0,0.899425,62408.0,537592.0,0.100575,2.262445,2.68796
94,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.001,2.0,16,,,652.0435483870967,14.623319999999996,25.0,0.63372,149813.0,450187.0,0.36628,1.7816853424216446,2.250935
