,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
29,,2,0.05,0.0,0.05,0.05,0.99,2500,0.46151375,0.53848625,,2.357281,9429124.0,2570876.0,14,758.3490322580645,2.810406000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
30,,2,0.05,0.0,0.05,0.1,0.95,2500,0.2637435,0.7362565,,2.1348115,8539246.0,3460754.0,26,493.57548387096773,12.053821,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
31,,2,0.05,0.0,0.05,0.1,0.99,2500,0.414403,0.585597,,2.259594,9038376.0,2961624.0,19,746.1629032258064,2.720274,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
32,,2,0.1,0.0,0.05,0.001,0.95,2500,0.64527225,0.35472775,,2.34538525,9381541.0,2618459.0,26,479.38516129032257,12.669808000000005,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
33,,2,0.1,0.0,0.05,0.001,0.99,2500,0.931074,0.068926,,2.630863,10523452.0,1476548.0,25,539.9077419354838,6.6461159999999975,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
34,,2,0.1,0.0,0.05,0.01,0.95,2500,0.24537325,0.75462675,,2.11917325,8476693.0,3523307.0,8,774.8745161290323,2.910302,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
35,,2,0.1,0.0,0.05,0.01,0.99,2500,0.34393925,0.65606075,,2.17278625,8691145.0,3308855.0,3,791.4835483870968,2.960101,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
36,,2,0.1,0.0,0.05,0.05,0.95,2500,0.21688425,0.78311575,,2.084728,8338912.0,3661088.0,28,447.90645161290325,15.608311999999996,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
37,,2,0.1,0.0,0.05,0.05,0.99,2500,0.288834,0.711166,,2.1018605,8407442.0,3592558.0,11,773.35,2.869929,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
38,,2,0.1,0.0,0.05,0.1,0.95,2500,0.237906,0.762094,,2.07811525,8312461.0,3687539.0,31,431.97903225806454,14.698562999999998,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
