,id,tn_score,tn_time,p_cc,p_cd,p_dc,p_dd
50,Stoc20,626.2540540540541,0.021920990990990964,0.25,0.75,0.25,0.75
51,Stoc21,661.3126126126126,0.02512160360360359,0.25,0.75,0.5,0.25
52,Stoc22,638.5099099099099,0.025982022522522515,0.25,0.75,0.5,0.5
53,Stoc23,607.209009009009,0.02321184234234234,0.25,0.75,0.5,0.75
54,Stoc24,630.5198198198199,0.02365763963963964,0.25,0.75,0.75,0.25
55,Stoc25,598.6936936936937,0.024731279279279275,0.25,0.75,0.75,0.5
56,Stoc26,563.1594594594594,0.0240856171171171,0.25,0.75,0.75,0.75
57,Stoc27,679.5918918918919,0.02526351351351351,0.5,0.25,0.25,0.25
58,Stoc28,635.2288288288288,0.02374626126126124,0.5,0.25,0.25,0.5
59,Stoc29,645.1018018018018,0.024176743243243235,0.5,0.25,0.25,0.75
60,Stoc30,683.0855855855856,0.027578027027027024,0.5,0.25,0.5,0.25
61,Stoc31,627.3144144144144,0.02358954504504505,0.5,0.25,0.5,0.5
62,Stoc32,628.9864864864865,0.023100157657657626,0.5,0.25,0.5,0.75
63,Stoc33,616.3666666666667,0.025824612612612596,0.5,0.25,0.75,0.25
64,Stoc34,595.3171171171172,0.022610756756756743,0.5,0.25,0.75,0.5
65,Stoc35,587.5846846846847,0.024117581081081075,0.5,0.25,0.75,0.75
66,Stoc36,648.0828828828829,0.03219672522522522,0.5,0.5,0.25,0.25
67,Stoc37,608.4513513513514,0.02589689639639638,0.5,0.5,0.25,0.5
68,Stoc38,603.5756756756757,0.023711860360360368,0.5,0.5,0.25,0.75
69,Stoc39,618.5522522522523,0.02633376576576576,0.5,0.5,0.5,0.25
70,Stoc40,613.5477477477477,0.024514144144144143,0.5,0.5,0.5,0.5
71,Stoc41,580.0765765765766,0.022406027027027035,0.5,0.5,0.5,0.75
72,Stoc42,632.736036036036,0.02293304054054053,0.5,0.5,0.75,0.25
73,Stoc43,604.9747747747748,0.023597378378378386,0.5,0.5,0.75,0.5
74,Stoc44,565.7126126126126,0.020640211711711723,0.5,0.5,0.75,0.75
75,Stoc45,636.7657657657658,0.025189770270270254,0.5,0.75,0.25,0.25
76,Stoc46,622.7459459459459,0.023500013513513527,0.5,0.75,0.25,0.5
77,Stoc47,606.6828828828828,0.023941621621621632,0.5,0.75,0.25,0.75
78,Stoc48,631.727027027027,0.02386532882882881,0.5,0.75,0.5,0.25
79,Stoc49,601.1846846846847,0.025130495495495505,0.5,0.75,0.5,0.5
80,Stoc50,578.1441441441441,0.022644581081081087,0.5,0.75,0.5,0.75
81,Stoc51,566.0207207207208,0.02522546396396395,0.5,0.75,0.75,0.25
82,Stoc52,582.9504504504505,0.024567747747747743,0.5,0.75,0.75,0.5
83,Stoc53,560.4117117117117,0.02285849099099099,0.5,0.75,0.75,0.75
84,Stoc54,688.1189189189189,0.02963156756756755,0.75,0.25,0.25,0.25
85,Stoc55,650.490990990991,0.0281406171171171,0.75,0.25,0.25,0.5
