Unnamed: 0,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
30,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.001,0.95,250,0.186532,0.813468,0.5664800824947112,1.559136,389784.0,360216.0,29,441.5064516129032,118.24277399999995,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
31,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.001,0.99,250,0.173108,0.826892,0.9837507476678728,1.612564,403141.0,346859.0,31,434.0941935483871,118.15508,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
32,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.01,0.95,250,0.146088,0.853912,0.5441872946574258,1.57636,394090.0,355910.0,30,446.7261290322581,115.18879600000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
33,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.01,0.99,250,0.89924,0.10076,1.9229510983869271,2.291536,572884.0,177116.0,23,734.0545161290322,87.43722199999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
34,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.1,0.95,250,0.900568,0.099432,1.9217654291206188,2.289892,572473.0,177527.0,19,751.3770967741935,89.04004799999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
35,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.1,0.99,250,0.899908,0.100092,1.925233601717914,2.293852,573463.0,176537.0,23,733.4429032258065,86.82712800000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
36,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.001,0.95,250,0.154468,0.845532,0.5279555893122099,1.673376,418344.0,331656.0,25,522.9664516129033,110.858372,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
37,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.001,0.99,250,0.83062,0.16938,1.901339316765293,2.309356,577339.0,172661.0,24,721.858064516129,86.52665399999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
38,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.01,0.95,250,0.149096,0.850904,0.5090220654529918,1.645468,411367.0,338633.0,31,421.0696774193548,107.01554499999996,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
39,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.01,0.99,250,0.311964,0.688036,0.7120318819351926,1.752072,438018.0,311982.0,31,424.0077419354839,108.442882,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
40,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.1,0.95,250,0.975104,0.024896,2.06584797803655,2.473248,618312.0,131688.0,22,727.6925806451613,85.19007799999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
41,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.05,0.0,0.1,0.99,250,0.973964,0.026036,2.071736478072007,2.478424,619606.0,130394.0,24,729.9048387096774,86.24758800000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
42,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.001,0.95,250,0.066632,0.933368,0.7093355662577704,1.569,392250.0,357750.0,27,447.6974193548387,118.076043,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
43,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.001,0.99,250,0.148856,0.851144,0.7368420296263732,1.589848,397462.0,352538.0,27,455.15258064516127,123.92016400000004,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
44,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.01,0.95,250,0.115088,0.884912,0.4116107774332601,1.5742,393550.0,356450.0,30,440.0154838709677,115.13470599999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
45,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.01,0.99,250,0.299324,0.700676,0.6867123935910973,1.687548,421887.0,328113.0,31,427.8016129032258,113.11107900000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
46,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.1,0.95,250,0.950864,0.049136,2.0050400479303523,2.395248,598812.0,151188.0,24,736.9403225806452,87.91488399999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
47,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.1,0.0,0.1,0.99,250,0.948992,0.051008,1.9909891691662829,2.378792,594698.0,155302.0,21,748.6819354838709,88.92773300000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
48,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.001,0.95,250,0.174032,0.825968,0.548540776577434,1.564452,391113.0,358887.0,30,440.7961290322581,123.156823,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
49,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.001,0.99,250,0.738704,0.261296,1.7316036058698614,2.114196,528549.0,221451.0,24,717.9135483870967,85.23825799999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
