,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
88,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,664.7322580645161,1.5327699999999995,25.0,0.4079566666666667,620469.0,1179531.0,0.5920433333333334,,1.965885
89,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,703.5887096774194,0.975,25.0,0.7399483333333333,470320.0,1329680.0,0.2600516666666667,,2.216133333333333
90,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,729.8870967741935,1.3180379999999998,21.0,0.6065266666666667,435671.0,1364329.0,0.3934733333333333,,2.2738816666666666
91,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,720.4661290322581,1.9293099999999987,25.0,0.7111183333333333,-147188.0,1947188.0,0.2888816666666666,,3.2453133333333333
92,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,393.3032258064516,3.412328,31.0,0.148755,-37839.0,1837839.0,0.851245,,3.063065
93,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,445.78225806451616,3.991858,30.0,0.5232,-37813.0,1837813.0,0.4768,,3.0630216666666668
94,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,452.4403225806452,3.204588,29.0,0.5145116666666667,-22916.0,1822916.0,0.4854883333333333,,3.038193333333333
95,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,686.5790322580646,0.74807,25.0,0.88707,61269.0,1738731.0,0.11293,,2.897885
96,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,752.7,0.924951,19.0,0.7963966666666666,70442.0,1729558.0,0.2036033333333333,,2.8825966666666667
97,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,474.81451612903226,3.2834939999999992,25.0,0.5082483333333333,-137856.0,1937856.0,0.4917516666666666,,3.22976
98,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,422.6403225806452,2.579264,30.0,0.514965,-135565.0,1935565.0,0.485035,,3.2259416666666665
99,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,686.0129032258064,1.914828,25.0,0.72347875,565641.0,1834359.0,0.27652125,,2.29294875
100,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,670.825806451613,1.146087,25.0,0.713275,563314.0,1836686.0,0.286725,,2.2958575
101,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,674.8048387,0.835777,25.0,0.84535125,1052886.0,3747114.0,0.15464875,,2.34194625
102,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,676.2645161,0.749056,24.0,0.8643375,1031850.0,3768150.0,0.1356625,,2.35509375
103,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,665.7790323,0.897011,25.0,0.844599375,1080421.0,3719579.0,0.155400625,,2.324736875
104,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,701.8064516,0.878958,24.0,0.868348125,1021278.0,3778722.0,0.131651875,,2.36170125
105,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,713.1822581,1.094302,24.0,0.83704625,1066833.0,3733167.0,0.16295375,,2.333229375
106,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,687.4532258,0.986684,25.0,0.86126875,1036579.0,3763421.0,0.13873125,,2.352138125
107,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,699.2612903,0.755042,24.0,0.867176875,1028426.0,3771574.0,0.132823125,,2.35723375
108,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,650.7145161,1.115994,25.0,0.862705625,1025075.0,3774925.0,0.137294375,,2.359328125
109,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,731.4516129,1.42063,16.0,0.86274875,1034825.0,3765175.0,0.13725125,,2.353234375
110,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman",,0.99,0.01,0.0,0.01,1.0,651.1290323,2.338762,25.0,0.83243125,1081654.0,3718346.0,0.16756875,,2.32396625
111,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,722.3629032258065,0.76624,25.0,0.77779375,597223.0,4202777.0,0.22220625,,2.626735625
112,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,764.9322580645161,0.8570599999999999,12.0,0.77604125,595482.0,4204518.0,0.22395875,,2.62782375
113,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,749.6725806451612,0.8924220000000003,19.0,0.7719875,609631.0,4190369.0,0.2280125,,2.618980625
114,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,663.9612903225807,0.8889970000000004,25.0,0.775665625,609994.0,4190006.0,0.224334375,,2.61875375
115,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,780.0225806451613,1.6487780000000003,3.0,0.77732375,607373.0,4192627.0,0.22267625,,2.620391875
116,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,710.9354838709677,1.2039910000000005,23.0,0.77655875,589957.0,4210043.0,0.22344125,,2.631276875
117,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,726.2048387096775,1.5679850000000006,21.0,0.771395625,615490.0,4184510.0,0.228604375,,2.61531875
118,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,753.9661290322581,1.578005,17.0,0.772845,599117.0,4200883.0,0.227155,,2.625551875
119,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,683.6274193548387,1.242357,25.0,0.78016875,599128.0,4200872.0,0.21983125,,2.625545
120,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,693.0435483870967,1.2696190000000005,24.0,0.7746175,592678.0,4207322.0,0.2253825,,2.62957625
121,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,670.0338709677419,1.1726859999999997,25.0,0.775141875,600317.0,4199683.0,0.224858125,,2.624801875
122,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,689.2516129032258,1.703495,24.0,0.775306875,610968.0,4189032.0,0.224693125,,2.618145
123,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,Grofman,Leyvraz",,0.99,0.01,0.0,0.1,1.0,772.9725806451613,1.4246489999999996,12.0,0.773481875,610074.0,4189926.0,0.226518125,,2.61870375
