,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
22,,2,0.01,0.0,0.01,0.99,0.87502,0.12498,,2.8386716666666665,1703203.0,96797.0,24,699.5048387096774,0.907825,"TitForTat,Nydegger,Grofman,Grudger"
23,,2,0.01,0.0,0.01,0.99,0.8812783333333334,0.11872166666666667,,2.9130533333333335,1747832.0,52168.0,20,742.0532258064516,0.7980880000000004,"TitForTat,Nydegger,Grofman,Grudger"
24,,1,0.01,0.0,0.001,0.99,0.90051,0.09949,,3.0434375,1217375.0,-17375.0,24,718.1241935483871,0.803012,"TitForTat,Nydegger,Grofman,Grudger"
25,,1,0.01,0.0,0.001,0.99,0.7077525,0.2922475,,2.9024125,1160965.0,39035.0,25,511.9016129032258,3.694063,"TitForTat,Nydegger,Grofman,Grudger"
26,,1,0.01,0.0,0.01,0.99,0.608375,0.391625,,3.2341175,1293647.0,-93647.0,24,706.1241935483871,0.7920570000000001,"TitForTat,Nydegger,Grofman,Grudger"
27,,1,0.01,0.0,0.01,0.99,0.6085725,0.3914275,,3.2351875,1294075.0,-94075.0,27,481.9193548387097,3.8542270000000007,"TitForTat,Nydegger,Grofman,Grudger"
28,,2,0.01,0.0,0.001,0.99,0.774925,0.225075,,2.9170825,1166833.0,33167.0,19,743.2951612903225,0.7421340000000001,"TitForTat,Nydegger,Grofman,Grudger"
29,,2,0.01,0.0,0.001,0.99,0.764085,0.235915,,2.8401525,1136061.0,63939.0,22,748.5548387096774,0.7441679999999998,"TitForTat,Nydegger,Grofman,Grudger"
30,,2,0.01,0.0,0.01,0.99,0.515315,0.484685,,3.25869,1303476.0,-103476.0,28,455.3822580645161,2.764224,"TitForTat,Nydegger,Grofman,Grudger"
31,,2,0.01,0.0,0.01,0.99,0.7236075,0.2763925,,3.211865,1284746.0,-84746.0,30,436.7467741935484,2.684621,"TitForTat,Nydegger,Grofman,Grudger"
32,,1,0.01,0.0,0.001,0.99,0.81095,0.18905,,2.8892816666666667,1733569.0,66431.0,23,715.9629032258065,1.28,"TitForTat,Nydegger,Grofman,Grudger"
