,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
34,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.001,0.95,0.659395,0.340605,0.1628663655117118,2.27568,455136,144864,23,685.7612903225806,14.468843999999995,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
35,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.01,0.95,0.900245,0.099755,2.3707040844829614,2.815275,563055,36945,25,612.0241935483871,13.217288000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
36,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",4,32,0.05,0.0,0.001,0.95,0.80046,0.19954,0.11247375321830655,2.509455,501891,98109,18,739.1774193548387,15.501025000000007,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
37,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",4,32,0.05,0.0,0.01,0.95,0.975305,0.024695,2.4754212311523873,2.96123,592246,7754,22,722.4,14.894026,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
38,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",4,32,0.2,0.0,0.001,0.95,0.73751,0.26249,0.1534586200144064,2.42117,484234,115766,20,735.4790322580645,15.224843000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
39,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",4,32,0.2,0.0,0.01,0.95,0.345865,0.654135,0.2955197964931718,1.572805,314561,285439,30,442.89354838709676,18.055226000000005,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
40,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",4,64,0.05,0.0,0.001,0.95,0.97543,0.02457,1.3485631543087069,2.96167,592334,7666,18,739.674193548387,15.301312999999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
41,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",4,64,0.05,0.0,0.01,0.95,0.974925,0.025075,2.475897417628113,2.96154,592308,7692,15,758.9935483870968,15.894912000000005,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
42,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",4,64,0.2,0.0,0.001,0.95,0.76668,0.23332,0.1514767157298486,2.495665,499133,100867,11,771.0435483870967,16.064783000000006,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
43,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",4,64,0.2,0.0,0.01,0.95,0.8994,0.1006,2.368440249863397,2.81164,562328,37672,24,687.4596774193549,14.405742000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
44,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",4,128,0.05,0.0,0.001,0.95,0.97491,0.02509,2.4747252460227998,2.96018,592036,7964,23,725.9451612903226,15.435255999999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
45,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",4,128,0.05,0.0,0.01,0.95,0.97497,0.02503,2.4730003489578936,2.95768,591536,8464,16,756.7806451612903,15.900056000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
46,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",4,128,0.2,0.0,0.001,0.95,0.900345,0.099655,2.3268258431510014,2.81542,563084,36916,25,700.8435483870968,15.029265999999996,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
47,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",4,128,0.2,0.0,0.01,0.95,0.9001,0.0999,2.368927522100918,2.812495,562499,37501,23,702.0596774193548,15.36581,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
48,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",8,4,0.05,0.0,0.001,0.95,0.030015,0.969985,0.44053606364878006,1.067135,213427,386573,29,452.36290322580646,17.37325899999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
49,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",8,4,0.05,0.0,0.01,0.95,0.97534,0.02466,2.4756869405487927,2.96147,592294,7706,22,747.4806451612903,14.586441999999998,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
50,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",8,4,0.2,0.0,0.001,0.95,0.90149,0.09851,2.3661922110294724,2.80998,561996,38004,25,695.2629032258064,15.080769999999996,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
51,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",8,4,0.2,0.0,0.01,0.95,0.35207,0.64793,0.27567306838098987,1.58329,316658,283342,27,481.258064516129,18.807352,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
52,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.05,0.0,0.001,0.95,0.81972,0.18028,0.048861530706096744,2.640065,528013,71987,17,724.8225806451613,14.940738000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
53,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.05,0.0,0.01,0.95,0.423705,0.576295,0.14720045739374804,1.847765,369553,230447,28,455.8274193548387,18.129995000000005,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
54,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.001,0.95,0.20009,0.79991,0.2876291058830791,1.34232,268464,331536,26,492.3048387096774,14.347661,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
55,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.01,0.95,0.89157,0.10843,2.357414098471019,2.80254,560508,39492,24,698.5064516129032,15.111424000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
56,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",8,16,0.05,0.0,0.001,0.95,0.024205,0.975795,0.4193410708195198,1.06323,212646,387354,28,453.1225806451613,17.603577999999995,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
57,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",8,16,0.05,0.0,0.01,0.95,0.15063,0.84937,0.1491617037679371,1.307985,261597,338403,29,444.7112903225806,17.293991,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
