,id,tn_score,tn_time,p_c,p_d
52,Stoc22,704.9614615384615,0.3734361884615382,0.04981079785013198,0.5630591451386918
53,Stoc23,584.6893076923077,0.4215826230769232,0.4889632141936495,0.6848612409281196
54,Stoc24,571.4446923076923,0.4076676807692309,0.7584671219125824,0.5117604011735802
55,Stoc25,593.0086923076923,0.3913339,0.4306992552994662,0.6545941485975825
56,Stoc26,606.8351538461538,0.37765060384615395,0.9130981656827776,0.28175424160956997
57,Stoc27,514.3916153846154,0.25148343076923074,0.8631617195408141,0.8321789688311167
58,Stoc28,603.1503846153846,0.46761117307692324,0.8974378586313578,0.27140294616511973
59,Stoc29,557.9686153846154,0.3700227076923076,0.7869956578668994,0.5714970864536969
60,Stoc30,614.843,0.43573961538461514,0.7920557472432379,0.2951397032109552
61,Stoc31,640.7706923076923,0.4541150538461538,0.5737481083469779,0.2658099432689697
62,Stoc32,745.775,0.4203748076923077,0.06667721279362959,0.25391945261823357
63,Stoc33,638.8739230769231,0.34828623846153856,0.2946926081178569,0.5552054623460305
64,Stoc34,650.9914615384615,0.3325509115384615,0.14536908630752954,0.6475282968599074
65,Stoc35,610.5543846153846,0.3718796653846153,0.5501381601184883,0.45626142218702803
66,Stoc36,597.3611538461538,0.2537662730769233,0.07211066518838138,0.9535527103108972
67,Stoc37,670.1781538461538,0.5249196615384616,0.5068270748477117,0.02335981803051701
68,Stoc38,630.8921538461539,0.5779757730769227,0.9112715961381047,0.0214273995126818
69,Stoc39,604.6504615384615,0.3840935192307693,0.9929672722522263,0.28674458533527847
70,Stoc40,566.1503076923077,0.3501664615384615,0.8319672889569372,0.5902813231384277
71,Stoc41,652.4696153846154,0.36463276538461553,0.3072291399472331,0.42154293056531944
72,Stoc42,553.8584615384615,0.3274519192307692,0.9728949234220515,0.6104215370240977
73,Stoc43,606.1092307692307,0.2938662076923076,0.12952081663470383,0.8701813756457154
74,Stoc44,572.4106153846154,0.2843814692307694,0.4076799323725544,0.7851469723711889
75,Stoc45,597.7595384615385,0.3452366923076922,0.5816590349267049,0.5030715996950567
76,Stoc46,609.084076923077,0.27811579230769246,0.22343043498939208,0.7857277251765561
77,Stoc47,741.9931538461539,0.42290904230769233,0.013727240165244736,0.43392715878543464
78,Stoc48,536.484,0.2978651961538461,0.7514613228504401,0.7373086490042394
79,Stoc49,749.1336923076923,0.5063423346153845,0.11124960367591197,0.06845398036063799
80,Stoc50,690.4833846153846,0.42737204615384644,0.13310627360954785,0.4788902824909588
81,Stoc51,656.3331538461539,0.3953755346153847,0.36289564755049686,0.2955013290185763
82,Stoc52,571.4474615384615,0.36159800384615376,0.6212543492718735,0.6153179927527402
83,Stoc53,659.2505384615384,0.5191293384615383,0.5210394181047117,0.1959955708047738
84,Stoc54,568.0484615384615,0.34651143076923085,0.6635266238482813,0.6170270239981934
85,Stoc55,559.3638461538461,0.33113746153846174,0.2879812983119515,0.9229629997590875
86,Stoc56,752.5037692307692,0.521177838461539,0.040100767350128685,0.18293521212875885
87,Stoc57,629.0675384615384,0.34194950384615413,0.29196200824961327,0.5447099769385916
88,Stoc58,633.6273076923077,0.410317796153846,0.7858665879993568,0.13887023562904688
89,Stoc59,479.4926923076923,0.21914250769230778,0.9284636175279298,0.9344909588470449
90,Stoc60,562.6268461538461,0.3805060346153846,0.8124740929230572,0.5627116764128182
91,Stoc61,589.5368461538461,0.41968520384615415,0.9134471669033123,0.39639718783319644
92,Stoc62,584.8903076923077,0.2819566615384615,0.06898888559413663,0.9950418750846635
93,Stoc63,577.8803846153846,0.3099048230769231,0.41166202365178994,0.8064561990246186
94,Stoc64,547.5667692307692,0.2863278192307691,0.554853158548053,0.7901168496258074
95,Stoc65,568.4452307692308,0.3361200576923079,0.7929493821764311,0.61291196114642
96,Stoc66,485.305,0.20804875000000003,0.9927048203638765,0.960415144220427
97,Stoc67,656.7059230769231,0.40604128846153853,0.37225999254128994,0.39634825029052834
98,Stoc68,582.0652307692308,0.2796506576923079,0.1610343068149943,0.921476545448959
99,Stoc69,664.6502307692308,0.5583793192307691,0.5384225021478775,0.0915621907842834
100,Stoc70,539.786,0.35716744615384605,0.8029436115632101,0.651749858333887
101,Stoc71,682.7935384615384,0.5077481153846155,0.3604695668503233,0.21458883064798362
