,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
39,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.2,0.0,0.01,4.0,689.0870967741936,0.8733779999999999,24.0,0.6396609571428571,38317857.0,171682143.0,0.3603390428571428,,2.452602042857143
40,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.1,0.0,0.01,8.0,418.48225806451615,3.189249,31.0,0.7669437571428571,2811394.0,207188606.0,0.2330562428571428,,2.9598372285714287
41,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.1,0.0,0.01,8.0,743.3870967741935,0.9290320000000002,17.0,0.7877995571428571,10515790.0,199484210.0,0.2122004428571428,,2.8497744285714286
42,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.2,0.0,0.01,8.0,451.19193548387096,3.055034,29.0,0.6617410142857143,19826643.0,190173357.0,0.3382589857142857,,2.716762242857143
43,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.2,0.0,0.01,8.0,490.8419354838709,4.062988000000001,26.0,0.6663742571428571,26505289.0,183494711.0,0.3336257428571428,,2.6213530142857144
44,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,2.0,463.4370967741936,3.2981160000000003,28.0,0.3201375,140365.0,339635.0,0.6798625,,2.12271875
45,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,2.0,426.5790322580645,3.851933,31.0,0.3439125,198785.0,281215.0,0.6560875,,1.75759375
46,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,2.0,808.5693548387097,1.0670650000000002,4.0,0.25258125,192132.0,287868.0,0.74741875,,1.799175
47,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,1.0,676.5774193548388,1.220324,25.0,0.6736464285714285,252456.0,587544.0,0.3263535714285714,,2.0983714285714288
48,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,1.0,734.6774193548387,1.3324,21.0,0.8681,199118.0,640882.0,0.1319,,2.288864285714286
49,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,1.0,684.8435483870968,1.6576320000000009,24.0,0.7518714285714285,222164.0,617836.0,0.2481285714285714,,2.2065571428571427
50,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,1.0,688.1790322580645,5.635898999999998,25.0,0.8519321428571428,192483.0,647517.0,0.1480678571428571,,2.312560714285714
51,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,1.0,757.8645161290323,2.0868640000000003,9.0,0.8805285714285714,189492.0,650508.0,0.1194714285714285,,2.323242857142857
52,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,1.0,691.174193548387,0.716344,25.0,0.8579785714285715,197884.0,642116.0,0.1420214285714285,,2.2932714285714284
53,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,2.0,744.8209677419355,0.8146219999999998,22.0,0.7925821428571429,187122.0,652878.0,0.2074178571428571,,2.3317071428571428
54,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,2.0,718.1532258064516,0.9326209999999998,23.0,0.6428071428571429,230830.0,609170.0,0.3571928571428571,,2.175607142857143
55,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,2.0,706.0935483870968,1.2170329999999996,24.0,0.7660535714285714,223420.0,616580.0,0.2339464285714285,,2.2020714285714287
56,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,2.0,704.8677419354839,0.811913,25.0,0.7617428571428572,207280.0,632720.0,0.2382571428571428,,2.259714285714286
57,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,2.0,688.7064516129033,0.735967,24.0,0.75845,197411.0,642589.0,0.24155,,2.2949607142857142
58,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,2.0,722.6403225806451,0.891059,23.0,0.7671392857142857,205995.0,634005.0,0.2328607142857142,,2.2643035714285715
59,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,4.0,442.1725806451613,4.015826999999999,29.0,0.5059107142857143,236226.0,603774.0,0.4940892857142857,,2.1563357142857145
60,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,4.0,722.058064516129,0.922195,24.0,0.5857392857142857,233683.0,606317.0,0.4142607142857142,,2.1654178571428573
61,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,4.0,448.7048387096774,2.940299,28.0,0.6300571428571429,212580.0,627420.0,0.3699428571428571,,2.2407857142857144
62,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,4.0,702.9290322580645,0.9629230000000004,24.0,0.506275,270541.0,569459.0,0.493725,,2.033782142857143
63,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,4.0,728.4048387096774,1.5282739999999992,20.0,0.6435785714285714,239883.0,600117.0,0.3564214285714285,,2.143275
64,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,4.0,445.14193548387095,3.540019,28.0,0.5042642857142857,234231.0,605769.0,0.4957357142857143,,2.1634607142857143
65,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,6.0,684.8887096774193,1.3885879999999995,25.0,0.4936857142857143,273420.0,566580.0,0.5063142857142857,,2.0235
66,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,6.0,447.31612903225806,4.254432,28.0,0.5834821428571428,200335.0,639665.0,0.4165178571428571,,2.2845178571428573
67,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,6.0,728.2451612903226,1.332991,18.0,0.5535285714285715,231225.0,608775.0,0.4464714285714286,,2.1741964285714284
68,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,6.0,506.7564516129032,4.013737,25.0,0.4908392857142857,249823.0,590177.0,0.5091607142857143,,2.107775
69,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,6.0,731.6,1.008955,21.0,0.4476892857142857,293743.0,546257.0,0.5523107142857143,,1.9509178571428567
70,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,6.0,699.8645161290323,0.8292060000000002,25.0,0.5248892857142857,280482.0,559518.0,0.4751107142857143,,1.9982785714285716
71,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,8.0,721.6274193548387,0.8870439999999998,24.0,0.4861464285714286,262651.0,577349.0,0.5138535714285715,,2.061960714285714
72,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,8.0,676.7951612903225,0.92187,25.0,0.533675,259171.0,580829.0,0.466325,,2.0743892857142856
73,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,8.0,710.1435483870968,1.3479339999999995,25.0,0.4972964285714286,277058.0,562942.0,0.5027035714285715,,2.010507142857143
74,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,8.0,434.36451612903227,2.942577,31.0,0.5754142857142858,253460.0,586540.0,0.4245857142857143,,2.0947857142857145
75,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,8.0,702.4,0.920032,24.0,0.5272428571428571,276216.0,563784.0,0.4727571428571429,,2.013514285714286
76,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,8.0,786.4983870967742,0.978143,9.0,0.5630607142857142,256615.0,583385.0,0.4369392857142857,,2.083517857142857
77,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,10.0,749.308064516129,1.007865,19.0,0.6000428571428571,240374.0,599626.0,0.3999571428571428,,2.141521428571429
78,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,10.0,421.308064516129,3.677644,31.0,0.5385892857142857,254516.0,585484.0,0.4614107142857143,,2.091014285714286
79,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,10.0,717.2612903225806,0.903219,23.0,0.5446892857142858,261711.0,578289.0,0.4553107142857143,,2.065317857142857
80,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,10.0,673.1,0.8509279999999998,25.0,0.5530607142857142,234064.0,605936.0,0.4469392857142857,,2.1640571428571427
81,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.01,0.0,0.01,10.0,719.6887096774194,1.1024799999999997,21.0,0.5315928571428571,241491.0,598509.0,0.4684071428571428,,2.1375321428571428
82,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.01,0.0,0.01,10.0,433.27258064516127,3.2499480000000007,31.0,0.5337714285714286,252450.0,587550.0,0.4662285714285714,,2.098392857142857
83,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,1.0,699.4129032258064,2.487209000000002,25.0,0.8736208333333333,185581.0,534419.0,0.1263791666666666,,2.226745833333333
