,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
469,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.01,2.0,744.6806451612903,0.7845560000000003,22.0,0.7436262,1250053.0,28749947.0,0.2563738,,2.8749947
470,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.01,2.0,670.3870967741935,0.7517629999999997,25.0,0.9194424,1666380.0,28333620.0,0.0805576,,2.833362
471,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.001,2.0,758.508064516129,0.8497840000000002,9.0,0.9366923,1617609.0,28382391.0,0.0633077,,2.8382391
472,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.001,2.0,717.1612903225806,0.989501,25.0,0.9462814,1635705.0,28364295.0,0.0537186,,2.8364295
473,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.1,2.0,690.1774193548387,0.908199,24.0,0.6160601,3488468.0,26511532.0,0.3839399,,2.6511532
474,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.1,2.0,720.558064516129,0.9522079999999996,24.0,0.5436325,4237589.0,25762411.0,0.4563675,,2.5762411
475,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.01,2.0,459.758064516129,2.801279,29.0,0.6981483,2492077.0,27507923.0,0.3018517,,2.7507923
476,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.01,2.0,736.85,0.8127420000000002,21.0,0.5889706,3628440.0,26371560.0,0.4110294,,2.637156
477,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.001,2.0,738.1467741935484,0.9645679999999996,23.0,0.6269346,2434280.0,27565720.0,0.3730654,,2.756572
478,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.001,2.0,672.4548387096775,0.8950840000000001,25.0,0.8921129,3211885.0,26788115.0,0.1078871,,2.6788115
479,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.1,4.0,709.7161290322581,0.7996830000000001,25.0,0.653777,-721000.0,30721000.0,0.346223,,3.0721
480,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.1,4.0,645.6516129032258,0.7579639999999999,25.0,0.583323,1535266.0,28464734.0,0.416677,,2.8464734
481,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.01,4.0,707.9322580645161,0.9435290000000002,25.0,0.7895353,-213752.0,30213752.0,0.2104647,,3.0213752
482,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.01,4.0,454.3,3.605069,28.0,0.8115011,677399.0,29322601.0,0.1884989,,2.9322601
483,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.001,4.0,713.5870967741936,0.8087,24.0,0.9416731,1726831.0,28273169.0,0.0583269,,2.8273169
484,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.001,4.0,778.391935483871,0.9430349999999998,8.0,0.8910641,2158782.0,27841218.0,0.1089359,,2.7841218
485,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.1,4.0,465.0951612903226,3.630623000000001,27.0,0.5715292,1536395.0,28463605.0,0.4284708,,2.8463605
486,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.1,4.0,423.48870967741937,2.7824050000000007,31.0,0.4759352,4088545.0,25911455.0,0.5240648,,2.5911455
487,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.01,4.0,687.2274193548387,0.7487249999999998,25.0,0.6362801,1107276.0,28892724.0,0.3637199,,2.8892724
488,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.01,4.0,651.325806451613,0.8443089999999999,25.0,0.6477116,2994943.0,27005057.0,0.3522884,,2.7005057
489,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.001,4.0,640.7145161290323,0.7511450000000002,25.0,0.7251909,4016638.0,25983362.0,0.2748091,,2.5983362
490,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.001,4.0,696.3096774193548,0.7727769999999999,25.0,0.5042761,5368127.0,24631873.0,0.4957239,,2.4631873
491,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.1,8.0,713.1258064516129,0.8966519999999999,24.0,0.8061861,-288142.0,30288142.0,0.1938139,,3.0288142
492,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.1,8.0,714.658064516129,0.954106,22.0,0.8781522,968577.0,29031423.0,0.1218478,,2.9031423
493,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.01,8.0,655.6629032258064,0.8071790000000001,25.0,0.9024329,2147453.0,27852547.0,0.0975671,,2.7852547
494,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.01,8.0,440.4741935483871,2.907834000000001,30.0,0.9172563,1736056.0,28263944.0,0.0827437,,2.8263944
495,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.001,8.0,738.3564516129032,0.8298700000000001,19.0,0.8807193,3088883.0,26911117.0,0.1192807,,2.6911117
496,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.001,8.0,655.0338709677419,0.8740640000000003,25.0,0.8384393,3214245.0,26785755.0,0.1615607,,2.6785755
497,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.1,8.0,670.7,0.763123,25.0,0.7396839,1623214.0,28376786.0,0.2603161,,2.8376786
498,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.1,8.0,721.7645161290322,0.8095999999999998,22.0,0.785919,2425484.0,27574516.0,0.214081,,2.7574516
499,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.01,8.0,734.7629032258064,0.967637,20.0,0.7165116,4308969.0,25691031.0,0.2834884,,2.5691031
500,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.01,8.0,680.0677419354839,0.9733130000000004,25.0,0.7690724,3788462.0,26211538.0,0.2309276,,2.6211538
501,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.001,8.0,502.43870967741935,4.094443,25.0,0.5568556,7289367.0,22710633.0,0.4431444,,2.2710633
502,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.001,8.0,425.291935483871,3.3359330000000003,31.0,0.655552,6335421.0,23664579.0,0.344448,,2.3664579
503,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.1,10.0,436.35806451612905,3.1074409999999983,31.0,0.8587527,886348.0,29113652.0,0.1412473,,2.9113652
504,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.1,10.0,701.2370967741936,0.97243,24.0,0.9035241,1437873.0,28562127.0,0.0964759,,2.8562127
505,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.01,10.0,688.5741935483871,0.7732009999999999,25.0,0.8612486,2179690.0,27820310.0,0.1387514,,2.782031
506,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.01,10.0,720.8935483870968,0.787894,21.0,0.8989095,2312003.0,27687997.0,0.1010905,,2.7687997
507,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.1,0.0,0.001,10.0,727.1403225806451,1.0292210000000002,20.0,0.8582465,2818835.0,27181165.0,0.1417535,,2.7181165
508,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.1,0.0,0.001,10.0,663.8225806451613,0.919713,25.0,0.8632262,2872476.0,27127524.0,0.1367738,,2.7127524
509,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.1,10.0,741.233870967742,0.8280220000000003,15.0,0.7723925,2422570.0,27577430.0,0.2276075,,2.757743
510,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.1,10.0,734.1951612903226,0.8882869999999999,18.0,0.8241238,2904774.0,27095226.0,0.1758762,,2.7095226
511,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.01,10.0,725.6129032258065,0.9079279999999996,21.0,0.7021444,5223709.0,24776291.0,0.2978556,,2.4776291
512,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.01,10.0,731.9290322580645,1.091039,24.0,0.7241209,5473997.0,24526003.0,0.2758791,,2.4526003
513,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.95,0.2,0.0,0.001,10.0,652.2516129032258,0.8958619999999998,25.0,0.5902813,6849345.0,23150655.0,0.4097187,,2.3150655
514,TABULAR,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",0.05,0.99,0.2,0.0,0.001,10.0,695.016129032258,0.8281359999999999,24.0,0.4953254,8578857.0,21421143.0,0.5046746,,2.1421143
515,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,2.0,757.3016129032258,0.9570590000000002,12.0,0.44316375,7633283.0,16366717.0,0.55683625,,2.045839625
516,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,2.0,707.4274193548387,1.0053650000000005,24.0,0.74932475,5444413.0,18555587.0,0.25067525,,2.319448375
517,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,2.0,505.9629032258064,3.616198,25.0,0.4892385,7755026.0,16244974.0,0.5107615,,2.03062175
518,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,2.0,692.25,1.279918,24.0,0.61201825,7998690.0,16001310.0,0.38798175,,2.00016375
519,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,4.0,447.95,3.620121,30.0,0.496374875,5441395.0,18558605.0,0.503625125,,2.319825625
520,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,4.0,692.3935483870968,0.8490330000000001,24.0,0.658444375,4807571.0,19192429.0,0.341555625,,2.399053625
521,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,4.0,682.2483870967742,0.8710000000000002,25.0,0.4071415,6935843.0,17064157.0,0.5928585,,2.133019625
522,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,4.0,741.6306451612903,0.8160040000000002,18.0,0.574635,6887558.0,17112442.0,0.425365,,2.13905525
523,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,8.0,454.5887096774193,3.1098319999999986,28.0,0.626468125,5159734.0,18840266.0,0.373531875,,2.35503325
524,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,8.0,431.5854838709677,2.649988,30.0,0.627535875,5394956.0,18605044.0,0.372464125,,2.3256305
525,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,8.0,477.7306451612904,4.116965,28.0,0.373589375,8926084.0,15073916.0,0.626410625,,1.8842395
526,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,8.0,409.7048387096774,3.791596999999999,31.0,0.406881875,8778152.0,15221848.0,0.593118125,,1.902731
527,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,10.0,471.05,3.9299939999999993,27.0,0.549747625,6567580.0,17432420.0,0.450252375,,2.1790525
528,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,10.0,429.9032258064516,2.811735,31.0,0.6716645,5153110.0,18846890.0,0.3283355,,2.35586125
529,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,10.0,430.6822580645161,4.061991999999999,30.0,0.4173245,8065875.0,15934125.0,0.5826755,,1.991765625
530,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,10.0,451.7935483870968,3.000053,31.0,0.32859025,9262017.0,14737983.0,0.67140975,,1.842247875
531,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,2.0,445.1370967741936,3.4713690000000006,31.0,0.636655,524851.0,1875149.0,0.363345,,2.34393625
532,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,2.0,755.6612903225806,1.068086,16.0,0.69935875,452626.0,1947374.0,0.30064125,,2.4342175
533,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,2.0,718.6,1.086588,23.0,0.3492775,931424.0,1468576.0,0.6507225,,1.83572
534,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,2.0,719.3387096774194,1.5359029999999996,23.0,0.67379,626505.0,1773495.0,0.32621,,2.21686875
535,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,4.0,451.8564516129032,3.966899,28.0,0.68882875,467403.0,1932597.0,0.31117125,,2.41574625
536,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,1.0,699.3661290322581,1.3417660000000005,23.0,0.87662,58755.0,541245.0,0.12338,,2.706225
537,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,1.0,686.1225806451613,0.858403,24.0,0.879145,57524.0,542476.0,0.120855,,2.71238
538,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,1.0,699.9725806451613,0.8460639999999998,24.0,0.8173,66494.0,533506.0,0.1827,,2.66753
539,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,1.0,736.4451612903226,1.109282,19.0,0.7618,69193.0,530807.0,0.2382,,2.654035
540,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,1.0,445.89516129032256,8.608006999999995,30.0,0.745085,73167.0,526833.0,0.254915,,2.634165
541,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,1.0,434.3725806451613,4.139414,30.0,0.699815,75268.0,524732.0,0.300185,,2.62366
542,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,1.0,703.8451612903226,1.3338310000000002,24.0,0.781095,90959.0,509041.0,0.218905,,2.545205
543,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,1.0,723.3548387096774,0.8000510000000003,24.0,0.8234,72916.0,527084.0,0.1766,,2.63542
544,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,1.0,689.6387096774193,0.7904410000000001,25.0,0.87771,59536.0,540464.0,0.12229,,2.70232
545,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,1.0,694.0322580645161,0.7130020000000002,24.0,0.769485,69207.0,530793.0,0.230515,,2.653965
546,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,1.0,752.6903225806452,1.265501,18.0,0.740145,71349.0,528651.0,0.259855,,2.643255
547,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,1.0,416.558064516129,3.4891729999999987,31.0,0.7077,75770.0,524230.0,0.2923,,2.62115
548,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,1.0,674.6096774193549,0.91234,25.0,0.73696,75381.0,524619.0,0.26304,,2.623095
549,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,1.0,732.3983870967742,0.9132269999999998,22.0,0.878665,55943.0,544057.0,0.121335,,2.720285
550,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,1.0,717.1983870967742,0.7986010000000001,23.0,0.79996,68171.0,531829.0,0.20004,,2.659145
551,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,1.0,433.06935483870967,7.240398999999999,29.0,0.763765,67220.0,532780.0,0.236235,,2.6639
552,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,1.0,770.3790322580645,1.3882969999999994,18.0,0.73284,73828.0,526172.0,0.26716,,2.63086
553,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,1.0,423.1677419354839,3.293972000000001,29.0,0.687625,76366.0,523634.0,0.312375,,2.61817
554,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,2.0,431.1209677419355,3.682311000000001,30.0,0.779085,66782.0,533218.0,0.220915,,2.66609
555,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,2.0,418.8483870967742,2.514197,31.0,0.509245,127114.0,472886.0,0.490755,,2.36443
556,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,2.0,469.3709677419355,3.371564,29.0,0.585835,116295.0,483705.0,0.414165,,2.418525
557,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,2.0,695.5,1.197072,25.0,0.574075,101488.0,498512.0,0.425925,,2.49256
558,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,2.0,454.9354838709677,2.799348,29.0,0.55866,96872.0,503128.0,0.44134,,2.51564
559,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,2.0,429.9161290322581,3.196842,30.0,0.534205,96561.0,503439.0,0.465795,,2.517195
560,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,2.0,707.5548387096774,0.8007019999999999,23.0,0.729455,84640.0,515360.0,0.270545,,2.5768
561,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,2.0,758.9096774193548,1.045835,15.0,0.645885,114649.0,485351.0,0.354115,,2.426755
562,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,2.0,448.458064516129,4.221860000000001,29.0,0.526325,106001.0,493999.0,0.473675,,2.469995
563,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,2.0,707.9806451612903,1.2894690000000002,25.0,0.580265,100241.0,499759.0,0.419735,,2.498795
564,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,2.0,700.7129032258065,0.8839100000000003,25.0,0.549665,99291.0,500709.0,0.450335,,2.503545
565,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,2.0,395.2548387096774,2.8531850000000007,31.0,0.53053,95345.0,504655.0,0.46947,,2.523275
566,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,2.0,471.9274193548387,4.801857,27.0,0.69066,94857.0,505143.0,0.30934,,2.525715
567,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,2.0,733.8967741935484,0.923465,23.0,0.53058,121503.0,478497.0,0.46942,,2.392485
568,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,2.0,735.5354838709677,0.913227,24.0,0.463845,122519.0,477481.0,0.536155,,2.387405
569,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,2.0,440.8741935483871,3.947968,31.0,0.584995,102097.0,497903.0,0.415005,,2.489515
570,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,2.0,726.5951612903226,1.0876040000000002,22.0,0.556,96626.0,503374.0,0.444,,2.51687
571,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,2.0,469.6629032258065,9.898411999999997,27.0,0.530755,95013.0,504987.0,0.469245,,2.524935
572,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,4.0,695.7161290322581,0.8088450000000003,25.0,0.723725,51004.0,548996.0,0.276275,,2.74498
573,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,4.0,802.8322580645162,0.92842,3.0,0.584515,93051.0,506949.0,0.415485,,2.534745
574,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,4.0,424.89193548387095,3.546629,30.0,0.618925,56573.0,543427.0,0.381075,,2.717135
575,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,4.0,412.65,3.094295,31.0,0.60426,82775.0,517225.0,0.39574,,2.586125
576,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,4.0,439.4032258064516,3.223425000000001,30.0,0.53767,77219.0,522781.0,0.46233,,2.613905
577,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,4.0,710.4387096774194,0.837108,23.0,0.50462,69539.0,530461.0,0.49538,,2.652305
578,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,4.0,471.01129032258063,3.189472999999999,28.0,0.773685,48329.0,551671.0,0.226315,,2.758355
579,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,4.0,414.15806451612906,2.512869,30.0,0.70409,95935.0,504065.0,0.29591,,2.520325
580,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,4.0,460.2790322580645,3.555402,27.0,0.621885,80204.0,519796.0,0.378115,,2.59898
581,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,4.0,701.808064516129,0.8031540000000001,25.0,0.62626,88706.0,511294.0,0.37374,,2.55647
582,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,4.0,473.2887096774194,2.804574000000001,28.0,0.52803,66980.0,533020.0,0.47197,,2.6651
583,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,4.0,434.93387096774194,3.382829,30.0,0.48504,61141.0,538859.0,0.51496,,2.694295
584,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,4.0,711.4596774193549,0.776274,23.0,0.67305,88368.0,511632.0,0.32695,,2.55816
585,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,4.0,694.7564516129032,1.546261,24.0,0.64731,95790.0,504210.0,0.35269,,2.52105
586,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,4.0,450.6725806451613,5.045549999999998,30.0,0.57665,72674.0,527326.0,0.42335,,2.63663
587,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,4.0,676.2290322580645,1.2641429999999998,25.0,0.57737,81735.0,518265.0,0.42263,,2.591325
588,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,4.0,455.6467741935484,5.16351,29.0,0.523465,75941.0,524059.0,0.476535,,2.620295
589,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,4.0,462.9193548387097,5.994162000000001,26.0,0.51496,63918.0,536082.0,0.48504,,2.68041
590,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,6.0,412.0822580645161,1292.8370909999994,31.0,0.477805,136655.0,463345.0,0.522195,,2.316725
591,TABULAR,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,6.0,732.9290322580645,1.841211,19.0,0.68945,79744.0,520256.0,0.31055,,2.60128
